Country,Brand,Model,status,reason
South Korea,Kia,PV5,UNSEEN_SERIES,해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
South Korea,Lamborghini,Temerario,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
South Korea,Mercedes-Benz,Maybach SL,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
South Korea,Renault Korea,Filante,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
South Korea,Tesla,Cybertruck,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
South Korea,Volvo,EX30 CC,UNSEEN_SERIES,해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
United States,Honda,Prelude,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
United States,Jeep,Recon,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
United States,Subaru,Trailseeker,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
United States,Subaru,Uncharted,INSUFFICIENT_HISTORY,기준월까지 최소 12개월의 관측 기간이 필요합니다.; 해당 시장 모델의 학습 행에 없던 정확한 시계열 키입니다.
